Concept,Concept_Frequency,E_mean,P_mean,A_mean,E_sd,P_sd,A_sd
a 27 year old is,103,0.755339799,0.163106795,1.304854367,1.076006416,1.006059121,1.216260633
a baby is,103,2.877669899,-2.916504851,1.387378638,1.443642731,1.499875631,2.017991604
a baby sitter is,105,1.918095232,0.872380956,0.835238084,1.162290587,1.227215053,1.366563684
a bachelor is,95,0.758510635,0.768085108,1.250526311,1.245586576,1.133954246,1.213038532
a backstabber is,101,-3.378217822,-0.351485143,0.630693062,0.602595053,2.209145243,2.07184664
a bailiff is,95,1.26842105,1.575789475,-0.062105265,1.569880269,1.205282331,1.720599772
a bailsman is,83,0.425609753,1.186746984,0.818072285,1.221495836,1.228301532,1.2495994
a baker is,103,2.05339804,0.594174756,1.300970862,1.150687388,1.1679398,1.315033368
a bandit is,95,-2.688421058,1.128421042,1.407368422,1.017387475,1.309918221,1.697823515
a bank manager is,102,0.527450977,1.510784309,0.213861386,1.503603386,1.371990444,1.497733598
a bank teller is,104,1.320192304,0.246153847,0.297115382,1.133375386,1.273472661,1.569642631
a banker is,98,0.288775506,1.479591834,0.482653054,1.643473969,1.243122034,1.603027125
a baptist is,97,0.422680412,0.171134022,0.445360827,1.704009069,1.207266073,1.356851483
a barber is,135,1.662962955,0.262222226,0.899259253,1.159241948,1.155187302,1.402795513
a bartender is,88,0.967045448,0.673863629,1.904545446,1.209038899,1.159616886,1.299417114
a bastard is,96,-1.484210528,-0.883157892,0.31368421,1.367192793,1.457676131,1.310563502
a battered woman is,93,-2.097849461,-2.670967745,-1.62580645,1.939014685,1.555745359,1.604267626
a beautician is,102,1.509803913,0.340196076,1.25686274,1.287295864,1.459299963,1.335316904
a beauty is,100,2.267999994,1.495000002,0.171999999,1.188996692,1.310283722,1.285669262
a beggar is,104,-1.302884614,-2.654807676,-0.418269232,1.212191849,1.065512305,1.767163509
a beginner is,114,0.618421049,-1.517699113,-0.681578946,1.118276624,1.219940725,1.324484582
a bellhop is,92,1.591304339,-0.851086951,1.158695642,1.17301641,1.390825074,1.581774775
a benefactor is,99,2.088888881,1.629292927,-0.033333336,1.329330728,1.482500127,1.598149433
a best friend is,136,3.111029409,1.822058821,1.020588235,0.944431858,1.242619168,1.323358109
a best man is,89,2.413483139,1.315730335,0.923595498,0.99763254,1.082599868,1.309668798
a big shot is,88,-0.266666665,2.227272725,2.137931021,1.595463524,1.380298758,1.31831829
a bigamist is,96,-2.317708321,0.248958334,0.974736834,1.258151926,1.681352512,1.374615482
a bigot is,88,-3.190909086,-0.945454548,1.469318175,0.843315352,1.990085134,1.655666544
a bill collector is,105,-1.199047616,1.376190475,1.897115366,1.487867292,1.622054954,1.407225228
a biologist is,102,2.26568627,1.243137257,9.80E-04,1.117236259,1.206952616,1.411304784
a bisexual is,135,0.345522385,-0.134814817,0.340740741,1.827262861,1.255098171,1.11805376
a bitch is,100,-2.358999997,0.329,1.992999991,1.471554874,2.139163193,1.563552999
a blabbermouth is,104,-2.107692295,-0.759615374,2.530769221,1.027268253,1.498835734,1.190257936
a Black is,95,0.565957444,0.139361704,0.647311823,1.306851519,1.090941983,0.949552676
a black man is,100,0.71734694,0.493877552,0.462999997,1.441149708,1.147010131,1.077750644
a black professional is,93,1.937634392,1.461956517,0.947252739,1.387671952,1.380224727,1.369617999
a black woman is,101,1.44455445,0.69009901,1.054455443,1.553027701,1.38740801,1.260755706
a blacksmith is,99,1.821212112,1.608080808,1.69595959,1.244028404,1.223884478,1.444830278
a blind date is,136,0.565441175,-0.366176468,0.267647059,1.265869843,1.241398288,1.227033898
a blind person is,104,0.601923077,-0.872115383,-0.997115384,1.631723184,1.477761136,1.354779869
a blockhead is,98,-1.953061221,-1.705102026,-0.926530608,1.173171229,1.386709548,1.727315466
a blogger is,105,1.052884614,0.745192309,0.914285706,1.165853722,1.283947178,1.636096941
a blonde is,104,0.55631068,0.201941749,0.597115381,1.066115351,0.845632442,1.10070204
a blood donor is,102,2.937254883,1.650980388,-0.065346533,0.960911444,1.497505849,1.444952282
a blue collar worker is,101,1.492999994,-0.462376237,1.16534652,1.420716494,1.470159945,1.453646138
a board director is,96,0.837499994,2.462499991,0.921874994,1.255073908,1.012370845,1.505932341
a boarder is,80,0.645569621,-0.124050631,-0.211249999,1.021160407,1.139862238,1.097291685
a bodyguard is,102,2.059803915,2.544117641,0.744117642,1.291883252,1.101715448,1.79021396
a bohemian is,82,0.404938268,-0.335802468,-0.201219513,1.122040673,1.154481336,1.319791774
a bonehead is,100,-2.181999994,-1.648484848,-0.12551021,1.27083683,1.429525654,1.904433839
