mturk_id,ip,phrase,dimension,rating_value,time
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a killer is,potency,2.9,27.40128636
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a foodie is,potency,1.9,4.605745077
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an ophthalmologist is,potency,2.9,4.575569153
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vegetarian is,potency,4.3,3.960030317
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a guitarist is,potency,2,5.060946941
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an officer is,potency,2,9.783568859
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a researcher is,potency,1,4.353377104
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a dunce is,potency,2,5.751160145
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a braggart is,potency,-3.1,15.32259154
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a spouse is,potency,4.1,3.607284784
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nerd is,potency,-4.2,17.06866479
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a gardener is,potency,0.9,4.440539122
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a shrink is,potency,-1.1,14.38766813
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vegan is,potency,4.3,3.197400808
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a fanboy is,potency,1,5.522980213
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vagrant is,potency,-4.3,13.78619719
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a mascot is,potency,1.9,14.31720042
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a billionaire is,potency,4.3,11.29184723
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an actress is,potency,1.9,3.411717653
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a cowboy is,potency,1,3.526192427
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an explorer is,potency,2,3.79624939
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a buffoon is,potency,-0.9,13.57322741
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a chief is,potency,3.1,4.17229867
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nut is,potency,0.9,5.342365503
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a daredevil is,potency,2,3.939177275
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an inventor is,potency,2.9,3.226447582
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a stepmother is,potency,2,3.716430426
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a ninja is,potency,4.3,3.349732161
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a surfer is,potency,3,4.838526964
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a wizard is,potency,1.8,3.455408096
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a braggart is,activity,-3,19.20435953
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a ninja is,activity,4.3,3.13484478
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a pirate is,activity,2.9,3.727333546
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a superhero is,activity,4.3,2.745194197
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a sculptor is,activity,-1,9.763358831
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a bailiff is,activity,1.9,18.50791717
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a kindergartener is,activity,4.1,5.2655406
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nerd is,activity,-2.1,3.438233852
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vagrant is,activity,1.1,11.54266953
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a cyclist is,activity,-1.1,7.408691406
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a scoundrel is,activity,1.9,4.890891314
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a wizard is,activity,2,3.67639184
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an activist is,activity,3,3.200231314
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a researcher is,activity,0.9,4.283912659
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nazi is,activity,3,3.515138865
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a savior is,activity,2,6.041632652
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a mascot is,activity,2,3.211722136
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a composer is,activity,3.1,3.749747276
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a princess is,activity,1,11.05615664
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a reporter is,activity,3,3.543071747
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a midwife is,activity,1,4.68871665
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a murderer is,activity,2.9,3.451839209
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a bishop is,activity,0.9,7.392823219
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a prosecutor is,activity,2.9,3.802201509
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a friend is,activity,-1,10.08165431
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a foodie is,activity,2,2.9437778
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a mathematician is,activity,1.9,3.243179083
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a bellhop is,activity,1.9,11.5225997
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an acrobat is,activity,3,5.084308386
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nanny is,activity,1.9,4.061621904
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being wary is,activity,0.9,8.47157979
